,geometry,field_date,B2,B3,B4,B8,B5,B6,B7,B8A,B11,B12,sat_mask,cloud_mask,edge_mask,geophysical_mask,sun_zen,sun_az,join_zen,join_az,s2_date,time_delta,s2_filenames,FID_,X_UTM,Y_UTM,StudySite,ESUnumber,CropType,Scientific,CropHeight,Rowspacing,LeafType,PhenoState,RowOrienta,SkyCond,SamplStrat,Irrigation,b_Tilled,Operators,d_observa,LAI_g_B,fCover,LicorLAI,Pocket_LAI,AccuPAR,443_1,490_1,560_1,665_1,705_1,740_1,783_1,842_1,865_1,945_1,1610_1,2190_1
54,POINT (346958.4888011158 4627827.422116222),2017-06-21,0.0549,0.0995,0.1743,0.2307,0.1925,0.2104,0.2288,0.2466,0.4077,0.3503,0,0,0,0,25,141,1,79,2017-07-21,-30 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20170721-110758-871_L2A_T30TUM_D_V1-7_roi_0.tif,15.0,346958.4888,4627827.422,MR,16.0,GUISANTES,Pisum sativum,0.45,0.18,N,SE,190S,CL,D,R,0.0,VPG,muchos claros. altura 0.45 la maxima . el otro extremo de la parcela tiene mucha hierba verde que nos dara LAI mixto,b,0.0,0.544,0.823333333,1.483333333,0.0667,0.0941,0.1507,0.2539,0.2977,0.3136,0.3301,0.3427,0.36,0.3324,0.4486,0.3344
55,POINT (347026.9671011162 4627834.925116211),2017-06-21,0.1323,0.1731,0.2429,0.3103,0.2604,0.2802,0.299,0.3308,0.4511,0.3196,0,0,0,0,25,141,1,79,2017-07-21,-30 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20170721-110758-871_L2A_T30TUM_D_V1-7_roi_0.tif,14.0,347026.9671,4627834.925,MR,15.0,COLZA,Brassica napus,1.7,0.25,B,SE,0,CL,D,I,0.0,VPG,colza con 3 regados. es la misma parcela que la ESU14. Sin lineas de plantacion definidas. Medida LI2000 dudosa,b,0.0,1.22,2.78,1.215,0.0617,0.0801,0.1163,0.1871,0.2282,0.2349,0.2607,0.2749,0.3091,0.3105,0.3569,0.2425
28,POINT (345475.98084812704 4626433.177996206),2017-07-21,0.12,0.1723,0.2535,0.3607,0.2787,0.3123,0.3401,0.3856,0.4582,0.2957,0,0,0,0,27,144,1,80,2017-07-31,-10 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20170731-111220-771_L2A_T30TUM_D_V1-7_roi_0.tif,51.0,345475.980847,4626433.17788,MR,0.0,TRITORDEUM,Tritordeum,0.9,0.12,N,SE,98E,CL,D,I,0.0,VPG,Tritordeum Irrigated,b,0.0,0.0,0.0,1.684,0.0335,0.0527,0.0837,0.127,0.1487,0.1593,0.1741,0.1902,0.2017,0.2007,0.2815,0.1973
0,POINT (347382.65860110486 4605327.4791159695),2017-06-21,0.0894,0.1242,0.1665,0.2094,0.1814,0.1927,0.2065,0.219,0.3629,0.3043,0,0,0,0,23,140,0,60,2017-07-11,-20 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20170711-111223-375_L2A_T30TUM_D_V1-7_roi_0.tif,26.0,347382.6586,4605327.479,Greg,27.0,TRIGO,Triticum spp,0.1,0.15,N,SE,30NE,PC,D,R,0.0,VPG,RASTROJO,b,0.0,0.385,0.25,0.576,0.0928,0.1434,0.2017,0.3013,0.3396,0.3607,0.3884,0.4093,0.4363,0.4026,0.4808,0.3121
1,POINT (347344.9054011042 4605422.042115972),2017-06-21,0.0815,0.1228,0.1721,0.217,0.1851,0.1981,0.214,0.2329,0.3637,0.2985,0,0,0,0,23,140,0,60,2017-07-11,-20 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20170711-111223-375_L2A_T30TUM_D_V1-7_roi_0.tif,25.0,347344.9054,4605422.042,Greg,26.0,TRIGO,Triticum spp,0.4,0.15,N,SE,30N,PC,D,R,0.0,VPG,trigo con hierbas dispersas,b,0.0,0.981,1.45,1.274,0.0802,0.1187,0.169,0.2456,0.2896,0.3069,0.3293,0.3388,0.3633,0.3688,0.4405,0.3165
2,POINT (359057.37810102396 4618091.2631161185),2017-06-22,0.0451,0.0683,0.0898,0.1733,0.1121,0.1514,0.1677,0.192,0.2438,0.169,0,0,0,0,23,140,0,213,2017-07-11,-19 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20170711-111223-375_L2A_T30TUM_D_V1-7_roi_0.tif,40.0,359057.3781,4618091.263,ITA,41.0,TRIGO,Triticum spp,0.8,0.2,N,SE,200S,PC,D,I,0.0,VPG,trigo con puas negras,b,0.0,1.64,2.726666667,1.86,0.0607,0.0538,0.0866,0.1258,0.1549,0.1756,0.2028,0.2165,0.2363,0.2985,0.2911,0.1935
3,POINT (358046.8041010323 4618159.4281161195),2017-06-22,0.0673,0.1059,0.1698,0.2758,0.2012,0.2351,0.2604,0.306,0.3043,0.2038,0,0,0,0,23,140,0,209,2017-07-11,-19 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20170711-111223-375_L2A_T30TUM_D_V1-7_roi_0.tif,41.0,358046.8041,4618159.428,ITA,42.0,AVENA,Avena sativa,1.0,0.12,N,SE,140SE,PC,D,I,0.0,VPG,avena todavia algo verde y tumbada,b,10.22,3.36,5.163333333,4.0425,0.0766,0.0703,0.1195,0.141,0.2392,0.3298,0.378,0.4399,0.4156,0.376,0.3138,0.2344
4,POINT (356335.0951010438 4618330.178116119),2017-06-22,0.1042,0.1522,0.2056,0.2637,0.2201,0.2406,0.2604,0.2794,0.3869,0.3206,0,0,0,0,23,140,0,31,2017-07-11,-19 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20170711-111223-375_L2A_T30TUM_D_V1-7_roi_0.tif,43.0,356335.0951,4618330.178,ITA,44.0,TRIGO,Triticum spp,0.32,0.25,N,SE,70E,PC,D,R,0.0,VPG,trigo malo apenas granado,b,0.0,0.675,0.96,0.66,0.0882,0.1276,0.1872,0.2563,0.2916,0.3076,0.3237,0.3442,0.3564,0.3145,0.4258,0.3177
5,POINT (358320.0548010295 4618390.985116121),2017-06-22,0.1206,0.1718,0.245,0.3395,0.2607,0.3006,0.3208,0.3561,0.4728,0.367,0,0,0,0,23,140,0,210,2017-07-11,-19 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20170711-111223-375_L2A_T30TUM_D_V1-7_roi_0.tif,35.0,358320.0548,4618390.985,ITA,36.0,YEROS,Vicia ervilia,0.23,0.15,N,SE,115SE,PC,D,R,0.0,VPG,hierbas verdes dispersas y en la zona mas cercana al ITACYL mucha avena intercalada,b,0.0,0.61,1.253333333,0.608291844,0.095,0.1256,0.173,0.2557,0.2909,0.311,0.3381,0.3619,0.3781,0.3559,0.4499,0.32
35,POINT (347807.53432110965 4628117.705176216),2017-07-21,0.0682,0.108,0.169,0.2619,0.1798,0.2024,0.2298,0.2736,0.419,0.3006,0,0,0,0,27,144,0,77,2017-07-31,-10 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20170731-111220-771_L2A_T30TUM_D_V1-7_roi_0.tif,55.0,347807.53432,4628117.70506,MR,0.0,ADORMIDERA,Papaver somniferum,1.1,0.2,B,SE,85E,CL,D,I,0.0,VPG,"Cultivo completamente seco. No se han georreferenciado los puntos B-E para no destrozar el cultivo. Sin embargo, si se han medido en 5 puntos aleatorios",b,0.0,0.0,0.0,0.946,0.0639,0.0578,0.0858,0.1389,0.167,0.1785,0.201,0.2252,0.2357,0.2683,0.3983,0.2966
36,POINT (347852.0194661104 4628123.005076216),2017-07-21,0.0574,0.0887,0.1428,0.2354,0.1948,0.2159,0.2407,0.284,0.4257,0.3128,0,0,0,0,27,144,0,77,2017-07-31,-10 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20170731-111220-771_L2A_T30TUM_D_V1-7_roi_0.tif,56.0,347852.019465,4628123.00496,MR,0.0,ADORMIDERA,Papaver somniferum,1.0,0.15,B,SE,270W,CL,D,I,0.0,VPG,Se ve el pivot en la parcela,b,0.0,0.0,0.0,0.936,0.0456,0.0472,0.0754,0.1263,0.1502,0.156,0.1775,0.1979,0.2139,0.2368,0.374,0.2855
28,POINT (345475.98084812704 4626433.177996206),2017-07-21,0.1015,0.1479,0.2172,0.3061,0.2425,0.2715,0.2926,0.333,0.4266,0.2921,0,0,0,0,28,145,0,85,2017-08-05,-15 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2B_20170805-111706-385_L2A_T30TUM_D_V1-7_roi_0.tif,51.0,345475.980847,4626433.17788,MR,0.0,TRITORDEUM,Tritordeum,0.9,0.12,N,SE,98E,CL,D,I,0.0,VPG,Tritordeum Irrigated,b,0.0,0.0,0.0,1.684,0.0335,0.0527,0.0837,0.127,0.1487,0.1593,0.1741,0.1902,0.2017,0.2007,0.2815,0.1973
38,POINT (347348.8316291154 4631696.140576267),2017-07-21,0.0801,0.12,0.1772,0.2788,0.2106,0.2535,0.2742,0.3009,0.4407,0.3197,0,0,0,0,27,144,1,80,2017-07-31,-10 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20170731-111220-771_L2A_T30TUM_D_V1-7_roi_0.tif,54.0,347348.831628,4631696.14046,Otro,52.0,ALFALFA,Medicago sativa,0.25,0.15,N,FL,355N,CL,S,R,0.0,VPG,Alfalfa. la parcela de la izquierda es lo mismo. A la derecha habi cereal ya cosechado,g,0.0,0.0,0.0,0.152,0.08,0.0851,0.1274,0.1793,0.2297,0.2636,0.283,0.2828,0.3034,0.3081,0.4499,0.3373
10,POINT (341171.1854011471 4598894.763115896),2017-06-14,0.1533,0.2207,0.2607,0.3836,0.3004,0.3585,0.3797,0.4018,0.4542,0.3695,0,0,0,0,23,139,0,75,2017-07-11,-27 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20170711-111223-375_L2A_T30TUM_D_V1-7_roi_0.tif,45.0,341171.1854,4598894.763,Gsec,46.0,Bare soil,,0.0,0.0,,,,,,,0.0,VPG,tillage nivel 1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,POINT (343719.0136011294 4600672.778115908),2017-06-21,0.1512,0.2076,0.2813,0.3663,0.3027,0.3276,0.349,0.3869,0.4783,0.3796,0,0,0,0,23,139,0,70,2017-07-11,-20 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20170711-111223-375_L2A_T30TUM_D_V1-7_roi_0.tif,33.0,343719.0136,4600672.778,Greg,34.0,CEBADA,Hordeum vulgare,0.12,0.12,N,SE,300NW,PC,D,I,0.0,VPG,RASTROJO,b,0.0,0.632,1.18,1.044,0.0784,0.1365,0.1897,0.2803,0.3345,0.3453,0.3761,0.3898,0.435,0.385,0.4706,0.2957
12,POINT (344156.8590011263 4600715.0271159075),2017-06-21,0.065,0.0997,0.1347,0.2574,0.1688,0.2207,0.2455,0.266,0.3159,0.2171,0,0,0,0,23,139,0,68,2017-07-11,-20 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20170711-111223-375_L2A_T30TUM_D_V1-7_roi_0.tif,34.0,344156.859,4600715.027,Greg,35.0,ALFALFA,Medicago sativa,0.72,0.08,N,FL,340N,PC,D,I,0.0,VPG,parece que la han regado algo con cañon. hay una parte al fondo que esta mas baja e irregular. Medimos en la parte buena y regular,g,0.0,2.84,1.486666667,2.506,0.0559,0.0505,0.0752,0.0638,0.1225,0.3309,0.4045,0.4111,0.4355,0.4418,0.226,0.1234
13,POINT (343572.5465011307 4601039.01411592),2017-06-21,0.0479,0.0772,0.0955,0.1961,0.1212,0.1739,0.1927,0.2026,0.2259,0.1566,0,0,0,0,23,139,0,70,2017-07-11,-20 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20170711-111223-375_L2A_T30TUM_D_V1-7_roi_0.tif,32.0,343572.5465,4601039.014,Greg,33.0,TRIGO,Triticum spp,0.52,0.12,N,SE,195SW,PC,D,I,0.0,VPG,,b,0.0,1.8,2.043333333,1.678,0.0754,0.0873,0.1252,0.1703,0.2086,0.2275,0.2408,0.2521,0.2733,0.2986,0.3,0.2099
14,POINT (339137.0282011628 4601379.571115923),2017-06-14,0.0624,0.0961,0.1429,0.1903,0.1648,0.1805,0.19,0.21,0.3443,0.2809,0,0,0,0,23,139,1,81,2017-07-11,-27 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20170711-111223-375_L2A_T30TUM_D_V1-7_roi_0.tif,47.0,339137.0282,4601379.571,Gsec,48.0,Bare soil,,0.0,0.0,,,,,,,0.0,VPG,tillage nivel 3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,POINT (347807.53432110965 4628117.705176216),2017-07-21,0.0816,0.1267,0.1982,0.3081,0.2157,0.2503,0.2762,0.3316,0.4807,0.3454,0,0,0,0,28,145,0,82,2017-08-05,-15 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2B_20170805-111706-385_L2A_T30TUM_D_V1-7_roi_0.tif,55.0,347807.53432,4628117.70506,MR,0.0,ADORMIDERA,Papaver somniferum,1.1,0.2,B,SE,85E,CL,D,I,0.0,VPG,"Cultivo completamente seco. No se han georreferenciado los puntos B-E para no destrozar el cultivo. Sin embargo, si se han medido en 5 puntos aleatorios",b,0.0,0.0,0.0,0.946,0.0639,0.0578,0.0858,0.1389,0.167,0.1785,0.201,0.2252,0.2357,0.2683,0.3983,0.2966
36,POINT (347852.0194661104 4628123.005076216),2017-07-21,0.0768,0.1145,0.1847,0.2801,0.2131,0.2404,0.271,0.3192,0.4675,0.3435,0,0,0,0,28,145,0,82,2017-08-05,-15 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2B_20170805-111706-385_L2A_T30TUM_D_V1-7_roi_0.tif,56.0,347852.019465,4628123.00496,MR,0.0,ADORMIDERA,Papaver somniferum,1.0,0.15,B,SE,270W,CL,D,I,0.0,VPG,Se ve el pivot en la parcela,b,0.0,0.0,0.0,0.936,0.0456,0.0472,0.0754,0.1263,0.1502,0.156,0.1775,0.1979,0.2139,0.2368,0.374,0.2855
17,POINT (343557.06740114035 4624903.450116187),2017-06-21,0.0953,0.1339,0.1985,0.2583,0.2212,0.2357,0.254,0.2757,0.4317,0.3557,0,0,0,0,24,140,1,84,2017-07-11,-20 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20170711-111223-375_L2A_T30TUM_D_V1-7_roi_0.tif,23.0,343557.0674,4624903.45,MR,24.0,MEZCLA AVENA-TRIGO,Triticum spp - Avena sativa,0.45,0.12,N,SE,145SE,CL,D,R,0.0,VPG,principalmente avena a punto de cosechar. Vemos la cosechadora al final de la parcela. Hay una zona con avena mas alta y cerca un cerco con avena malnacida,b,0.0,1.65,1.973333333,0.9125,0.0641,0.0859,0.1278,0.2022,0.2583,0.2897,0.3161,0.3417,0.3654,0.3556,0.4206,0.2738
38,POINT (347348.8316291154 4631696.140576267),2017-07-21,0.0805,0.1246,0.1801,0.2734,0.2058,0.2443,0.2661,0.298,0.4338,0.3125,0,0,0,0,28,145,0,85,2017-08-05,-15 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2B_20170805-111706-385_L2A_T30TUM_D_V1-7_roi_0.tif,54.0,347348.831628,4631696.14046,Otro,52.0,ALFALFA,Medicago sativa,0.25,0.15,N,FL,355N,CL,S,R,0.0,VPG,Alfalfa. la parcela de la izquierda es lo mismo. A la derecha habi cereal ya cosechado,g,0.0,0.0,0.0,0.152,0.08,0.0851,0.1274,0.1793,0.2297,0.2636,0.283,0.2828,0.3034,0.3081,0.4499,0.3373
48,POINT (345558.2730921254 4626467.6729861945),2017-07-21,0.1285,0.185,0.2823,0.381,0.3165,0.3408,0.3636,0.4128,0.4836,0.3303,0,0,0,0,27,144,1,80,2017-07-31,-10 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20170731-111220-771_L2A_T30TUM_D_V1-7_roi_0.tif,50.0,345558.273091,4626467.67287,MR,0.0,CENTENO,Secale cereale,1.3,0.15,N,SE,324NW,CL,D,I,0.0,VPG,"Cosecharan proximamente, el 24 de julio probablemente",b,0.0,0.0,0.0,1.854,0.0233,0.0369,0.0516,0.0835,0.105,0.1138,0.128,0.1444,0.1535,0.1518,0.234,0.1653
20,POINT (345498.2800011177 4603264.299115936),2017-06-21,0.0231,0.0503,0.0248,0.495,0.0881,0.3952,0.5055,0.5322,0.1845,0.0759,0,0,0,0,23,139,0,66,2017-07-11,-20 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20170711-111223-375_L2A_T30TUM_D_V1-7_roi_0.tif,31.0,345498.28,4603264.299,Greg,32.0,ALFALFA,Medicago sativa,0.35,0.2,N,FL,125SE,PC,S,R,0.0,VPG,mucha mezcla d hierbas,g,0.0,0.863,0.976666667,1.05,0.0599,0.0559,0.0943,0.074,0.1614,0.3324,0.381,0.4025,0.4145,0.3811,0.3195,0.1868
21,POINT (345660.32270111656 4603682.450115952),2017-06-21,0.0251,0.062,0.0381,0.4037,0.0937,0.3375,0.3964,0.4132,0.1741,0.0763,0,0,0,0,23,139,0,66,2017-07-11,-20 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20170711-111223-375_L2A_T30TUM_D_V1-7_roi_0.tif,29.0,345660.3227,4603682.45,Greg,30.0,GIRASOL,Helianthus annuus,1.3,0.75,B,FL,2N,PC,S,I,0.0,VPG,boton floral,g,0.0,2.45,2.153333333,2.568,0.0569,0.0508,0.0772,0.0637,0.1224,0.3547,0.4022,0.3837,0.4169,0.4456,0.2228,0.1098
51,POINT (345550.53916512674 4627059.061126212),2017-07-21,0.0334,0.068,0.0513,0.3633,0.1087,0.3097,0.3686,0.3913,0.1894,0.1076,0,0,0,0,27,144,1,81,2017-07-31,-10 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20170731-111220-771_L2A_T30TUM_D_V1-7_roi_0.tif,52.0,345550.539164,4627059.06101,MR,0.0,GIRASOL,Helianthus annuus,1.5,0.4,B,FL,240SW,CL,D,I,0.0,VPG,,g,0.0,0.0,0.0,3.944,0.0213,0.0273,0.0662,0.051,0.1191,0.3781,0.4368,0.4298,0.4391,0.464,0.2229,0.1258
23,POINT (347099.9545011057 4604868.695115964),2017-06-21,0.0896,0.1273,0.1819,0.2359,0.1884,0.205,0.2236,0.242,0.3296,0.2799,0,0,0,0,23,140,0,61,2017-07-11,-20 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20170711-111223-375_L2A_T30TUM_D_V1-7_roi_0.tif,30.0,347099.9545,4604868.695,Greg,31.0,CEBADA,Hordeum vulgare,0.35,0.12,N,SE,,PC,D,R,0.0,VPG,espiga poco granada,b,0.0,1.11,1.636666667,1.286,0.0724,0.0937,0.1371,0.2167,0.2555,0.2735,0.2988,0.3096,0.3388,0.3399,0.3722,0.2396
